time,D
2026-01-20 03:01:05.777594,0.12270136555779643
2026-01-20 03:01:06.089642,0.0
2026-01-20 03:01:06.401683,0.0
2026-01-20 03:01:06.713734,0.0
2026-01-20 03:01:07.025786,0.0
2026-01-20 03:01:07.337825,0.0
2026-01-20 03:01:07.649877,0.0
2026-01-20 03:01:07.961929,0.0
2026-01-20 03:01:08.273968,0.0
2026-01-20 03:01:08.586020,0.0
2026-01-20 03:01:08.898071,0.0
2026-01-20 03:01:09.210111,0.0
2026-01-20 03:01:09.522163,0.0
2026-01-20 03:01:09.834215,0.0
2026-01-20 03:01:10.146255,0.0
2026-01-20 03:01:10.458307,0.0
2026-01-20 03:01:10.770357,0.0
2026-01-20 03:01:11.082398,0.0
2026-01-20 03:01:11.394450,0.0
2026-01-20 03:01:11.706502,0.0
2026-01-20 03:01:12.018548,0.0
2026-01-20 03:01:12.330593,0.0
2026-01-20 03:01:12.642646,0.0
2026-01-20 03:01:12.954690,0.0
2026-01-20 03:01:13.266737,0.0
2026-01-20 03:01:13.578778,0.0
2026-01-20 03:01:13.890838,0.0
2026-01-20 03:01:14.202877,0.0
2026-01-20 03:01:14.514933,0.0
2026-01-20 03:01:14.826975,0.0
2026-01-20 03:01:15.139025,0.0
2026-01-20 03:01:15.451067,0.0
2026-01-20 03:01:15.763125,0.0
2026-01-20 03:01:16.075189,0.0
2026-01-20 03:01:16.387219,0.0
2026-01-20 03:01:16.699262,0.0
2026-01-20 03:01:17.011310,0.0
2026-01-20 03:01:17.323380,0.0
2026-01-20 03:01:17.635401,0.0
2026-01-20 03:01:17.947454,0.0
2026-01-20 03:01:18.259501,0.0
2026-01-20 03:01:18.571545,0.0
2026-01-20 03:01:18.883595,0.0
2026-01-20 03:01:19.195644,0.0
2026-01-20 03:01:19.507687,0.0
2026-01-20 03:01:19.819738,0.0
2026-01-20 03:01:20.131787,0.0
2026-01-20 03:01:20.443831,0.0
2026-01-20 03:01:20.755882,0.0
2026-01-20 03:01:21.067932,0.0
2026-01-20 03:01:21.380004,0.0
2026-01-20 03:01:21.692025,0.0
2026-01-20 03:01:22.004075,0.0
2026-01-20 03:01:22.316115,0.0
2026-01-20 03:01:22.628170,0.0
2026-01-20 03:01:22.940219,0.0
2026-01-20 03:01:23.252260,0.0
2026-01-20 03:01:23.564313,0.0
2026-01-20 03:01:23.876362,0.0
2026-01-20 03:01:24.188414,0.0
2026-01-20 03:01:24.500454,0.0
2026-01-20 03:01:24.812505,0.0
2026-01-20 03:01:25.124548,0.0
2026-01-20 03:01:25.436600,0.0
2026-01-20 03:01:25.748642,0.0
2026-01-20 03:01:26.060701,0.0
2026-01-20 03:01:26.372742,0.0
2026-01-20 03:01:26.684792,0.0
2026-01-20 03:01:26.996835,0.0
2026-01-20 03:01:27.308883,0.0
2026-01-20 03:01:27.620936,0.0
2026-01-20 03:01:27.932985,0.0
2026-01-20 03:01:28.245025,0.0
2026-01-20 03:01:28.557077,0.0
2026-01-20 03:01:28.869121,0.0
2026-01-20 03:01:29.181168,0.0
2026-01-20 03:01:29.493219,0.0
2026-01-20 03:01:29.805262,0.0
2026-01-20 03:01:30.117311,0.0
2026-01-20 03:01:30.429363,0.0
2026-01-20 03:01:30.741405,0.0
2026-01-20 03:01:31.053455,0.0
2026-01-20 03:01:31.365505,0.0
2026-01-20 03:01:31.677549,0.0
2026-01-20 03:01:31.989604,0.0
