start_time,end_time,Bx,By,Bz,score
2026-01-23 17:53:35,2026-01-23 17:54:05,-5.000000158840945,1.7366667007872214,-2.271666585473577,0.10428799248865507
2026-01-23 17:56:07,2026-01-23 17:57:37,-4.889972990086569,2.7097419685447677,-1.3548000192233596,0.480585974964273
2026-01-23 19:29:23,2026-01-23 19:30:07,-4.608000135578913,-0.6299999914927563,-3.0976667084624445,0.11480216439271447
2026-01-23 19:31:55,2026-01-23 19:32:47,-4.277333224922999,-1.3246031446314033,-3.027269897531692,0.4935045234306249
2026-01-23 19:32:59,2026-01-23 19:33:41,-4.098616648510525,-1.386816655397066,-3.2809333797351767,0.37813484111300244
2026-01-23 21:07:15,2026-01-23 21:08:11,-4.844253243432729,2.430000066757202,-2.2528733305999196,0.361890752942525
2026-01-23 22:41:58,2026-01-23 22:42:54,-5.486000013252487,1.4386666575737759,-2.4163333100897337,0.43539502232806143
2026-01-24 00:17:01,2026-01-24 00:17:37,-5.627333211808001,1.1689999959241444,0.8940833125056815,0.1453781713216753
2026-01-24 01:54:12,2026-01-24 01:55:22,-3.72823428868893,1.7508750081414048,4.970619754402763,0.2805984283369136
2026-01-24 03:31:19,2026-01-24 03:31:51,-5.334999918859103,1.9016666909495445,1.8583333593802915,0.1179530857452445
2026-01-24 03:33:00,2026-01-24 03:33:51,-5.130074188414857,1.5957221909137702,2.434092654925038,0.15332883863172325
2026-01-24 10:56:44,2026-01-24 10:57:58,-5.251906950745943,0.49764705688753125,0.7790980602003685,0.3942231592709224
2026-01-24 14:49:52,2026-01-24 14:50:48,-5.103486250920881,2.8898125253424056,-1.2200625285846762,0.30741962595368383
2026-01-24 14:54:22,2026-01-24 14:55:05,-5.2107498646091175,3.094749951296191,-0.1780000016392608,0.22047172646527938
2026-01-24 16:25:55,2026-01-24 16:26:28,-3.447749956869327,2.589416627792913,-1.0010833350101407,0.11682950726799435
2026-01-24 16:27:00,2026-01-24 16:27:30,-3.1300000560935586,2.8199999331380243,-3.3400000001187435,0.13778251533044372
2026-01-24 16:29:35,2026-01-24 16:30:24,-4.691285853616899,2.419452316299915,2.0974879992397164,0.14974064656138777
2026-01-24 16:30:32,2026-01-24 16:31:58,-5.082589765218556,2.2225769491746012,2.128531978439121,0.32018640872215864
2026-01-24 18:04:24,2026-01-24 18:05:08,-1.1064253900421543,-1.8489491520647938,-5.0079360355403315,0.40866432837848793
2026-01-24 19:40:07,2026-01-24 19:42:04,-4.951450458295692,4.283187133986363,-1.179064295860055,0.42403558606303765
2026-01-24 21:14:41,2026-01-24 21:15:40,-5.850678477001547,1.0096904600972179,-2.4954641922325425,0.41547818619438887
2026-01-24 22:50:51,2026-01-24 22:51:46,-5.633041600343738,0.6017083177344222,-2.5715417763350463,0.17374917701552117
